feature,test,statistic,p_value,drift_at_0.05
ever_married,Chi-square,2.7713622831882887,0.09596445820465939,False
gender,Chi-square,2.5653512181162768,0.27729437566495696,False
age,Kolmogorov-Smirnov,0.04317445002643126,0.39662393745198127,False
avg_glucose_level,Kolmogorov-Smirnov,0.036248720024545954,0.6194080091668341,False
bmi,Kolmogorov-Smirnov,0.03638840560680169,0.6352553618387683,False
smoking_status,Chi-square,1.4257608449629535,0.6995075113100137,False
hypertension,Kolmogorov-Smirnov,0.02459123960770832,0.9538338114472578,False
residence_type,Chi-square,0.000539391550235864,0.981470952705985,False
heart_disease,Kolmogorov-Smirnov,0.021651454828418598,0.9860945390567268,False
work_type,Chi-square,0.33342169376029307,0.9875557787267532,False
