feature,mean_abs_shap
numeric__age,0.20172773154402446
categorical__work_type_Self-employed,0.03646858624476701
numeric__avg_glucose_level,0.03459842505266805
numeric__hypertension,0.03400244296411188
categorical__smoking_status_never smoked,0.025857890394324665
categorical__work_type_Private,0.021082439179285137
categorical__Residence_type_Rural,0.01734946333279746
categorical__gender_Male,0.016897574221668325
categorical__work_type_Govt_job,0.016385722195628092
numeric__heart_disease,0.010914656398584738
categorical__Residence_type_Urban,0.008182805064036921
numeric__bmi,0.007952110222051561
categorical__gender_Female,0.00786303932331992
categorical__ever_married_No,0.006073913985132701
categorical__ever_married_Yes,0.00505188324755574
categorical__smoking_status_formerly smoked,0.004258184607066411
categorical__smoking_status_Unknown,0.00386731804287148
categorical__work_type_children,0.0026814460559084923
categorical__smoking_status_smokes,0.0014573631654943007
categorical__work_type_Never_worked,1.863552517858417e-05
categorical__gender_Other,0.0
