experiment,accuracy,roc_auc,log_loss,precision,recall,f1,threshold
AdaBoost,0.9504843918191603,0.8674848589295386,0.2691694548475097,0.0,0.0,0.0,
AdaBoost adjusted,0.9504843918191603,0.8672386626618741,0.2701924466587275,0.0,0.0,0.0,
XGBoost,0.9483315392895587,0.8212122704219803,0.16986875236034393,0.0,0.0,0.0,
XGBoost adjusted,0.9504843918191603,0.8382490521443696,0.16021819412708282,0.0,0.0,0.0,
XGBoost weighted,0.876210979547901,0.8071790831650992,0.2674882113933563,0.17757009345794392,0.41304347826086957,0.24836601307189543,0.5
XGBoost weighted,0.8213132400430571,0.8071790831650992,0.2674882113933563,0.1511627906976744,0.5652173913043478,0.23853211009174313,0.35
XGBoost + SMOTE,0.9160387513455328,0.7488551873553597,0.23142462968826294,0.13636363636363635,0.13043478260869565,0.13333333333333333,0.5
XGBoost + SMOTE,0.8729817007534983,0.7488551873553597,0.23142462968826294,0.14705882352941177,0.32608695652173914,0.20270270270270271,0.35
XGBoost Optuna tuned,0.8277717976318623,0.8393076960953273,0.3541856110095978,0.18681318681318682,0.7391304347826086,0.2982456140350877,
LightGBM focal loss,0.9332615715823466,0.8142941553006056,0.23160174236077063,0.13636363636363635,0.06521739130434782,0.08823529411764706,
